pathway																											
#OTU ID	E1	E3	E4	E5	NS1	NS2	NS3	NS4	NS5	NS6	QS1	QS2	QS3	QS4	QS5	QS6	QS7	QS8	S1	S10	S14	S2	S3	S5	S6	S8	S9
K00138	8.0	0.0	0.0	16.0	17.0	11.5	12.5	0.0	63.0	28.0	84.5	21.0	17.75	4.0	0.0	6.75	22.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00140	107.0	0.0	0.0	16.0	236.0	199.5	89.5	0.0	365.0	343.0	394.0	246.0	196.0	210.0	51.0	38.0	138.0	381.0	0.0	0.0	57.0	46.0	1.0	0.0	0.0	0.0	0.0
K00141	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	16.0	0.0	63.0	21.0	8.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00145	143.0	34.0	25.0	53.0	236.0	212.0	98.5	8.0	381.5	350.0	413.0	254.0	205.75	214.0	51.0	50.25	159.0	386.5	0.0	12.0	57.0	46.0	1.0	0.0	12.0	0.0	0.0
K00147	107.0	46.0	25.0	53.0	236.0	212.0	98.5	8.0	381.5	350.0	413.0	254.0	205.75	214.0	51.0	50.25	159.0	386.5	6.0	12.0	57.0	46.0	1.0	0.0	12.0	0.0	0.0
K00148	22.0	0.0	0.0	16.0	0.0	31.0	0.0	0.0	16.0	0.0	71.0	27.0	28.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0
K00150	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00151	77.0	0.0	0.0	16.0	219.0	157.0	77.0	0.0	308.0	315.0	371.0	221.0	176.0	204.0	51.0	38.0	123.0	375.0	0.0	0.0	57.0	21.0	1.0	0.0	0.0	0.0	0.0
K00153	85.0	0.0	0.0	16.0	236.0	168.5	89.5	0.0	355.0	343.0	386.0	221.0	176.0	204.0	51.0	38.0	138.0	375.0	0.0	0.0	57.0	21.0	1.0	0.0	0.0	0.0	0.0
K00156	107.0	34.0	25.0	53.0	236.0	199.5	89.5	0.0	355.0	343.0	400.5	227.0	205.75	208.0	51.0	44.75	145.0	381.0	0.0	0.0	57.0	46.0	1.0	0.0	0.0	0.0	0.0
K00158	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00161	258.0	12.0	0.0	48.0	472.0	438.0	154.0	0.0	726.0	630.0	837.0	506.0	440.0	414.0	102.0	76.0	246.0	801.0	6.0	0.0	114.0	142.0	2.0	0.0	6.0	0.0	0.0
K00162	258.0	12.0	0.0	32.0	472.0	438.0	154.0	0.0	710.0	630.0	774.0	485.0	432.0	414.0	102.0	76.0	246.0	774.0	6.0	0.0	114.0	142.0	2.0	0.0	6.0	0.0	0.0
