pathway	E1	E3	E4	E5	NS1	NS2	NS3	NS4	NS5	NS6	QS1	QS2	QS3	QS4	QS5	QS6	QS7	QS8	S1	S10	S14	S2	S3	S5	S6	S8	S9
PWY-6628	0.0	46.333876462746300	26.31578947368420	56.51328300983170	0.0	0.0	0.0	8.88888888888889	81.41771311634750	59.43336259345580	0.0	114.29649275051200	0.0	47.93013698630140	0.0	0.0	0.0	0.0	0.0	13.333333333333300	0.0	0.0	0.0	0.0	11.612903225806500	0.0	0.0
PWY-6630	0.0	46.333876462746300	26.31578947368420	56.51328300983170	0.0	0.0	0.0	8.88888888888889	81.41771311634750	59.43336259345580	0.0	114.29649275051200	0.0	47.93013698630140	0.0	0.0	0.0	0.0	0.0	13.333333333333300	0.0	0.0	0.0	0.0	11.612903225806500	0.0	0.0
PWY-6654	43.15966386554620	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6700	0.0	46.0	25.0	37.0	0.0	0.0	0.0	8.0	16.594266756518600	12.602739726027400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	12.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0
PWY-6703	43.91489361702130	38.85714285714290	28.57142857142860	43.38762214983710	0.0	0.0	0.0	8.0	13.220768256648400	9.271523178807950	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0
PWY-6708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.177244783098100	9.94318181818182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6737	20.691925252871600	0.0	0.0	0.0	31.715415019762800	46.46446756696920	35.295833333333300	0.0	122.72022471910100	51.851851851851900	63.00647948164150	49.02389078498290	21.27089103397070	19.107142857142900	0.0	19.698	58.70769230769230	11.055342001130600	0.0	0.0	0.0	0.0	0.0	0.0	7.200000000000000	0.0	0.0
PWY-6749	0.0	0.0	0.0	45.758877240446400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	6.967741935483870	0.0	0.0
PWY-6892	0.0	40.91690544412610	27.27272727272730	24.20450822955930	0.0	0.0	0.0	8.727272727272730	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.090909090909100	0.0	0.0	0.0	0.0	8.307692307692310	0.0	0.0
